type,gene.name,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous,SUV39H2,NM_024670.3,273.64150943396226,1.0930353604187244,0.14723447722904295,7.423773160944916,1.138300473245467e-13,9.171449527292048e-12
Endogenous,TMPRSS2,NM_005656.2,201.83018867924528,1.063812010288096,0.3253663863703345,3.2695817848782234,0.0010770659640613244,0.005677244894678383
Endogenous,ITGB8,NM_002214.2,457.7358490566038,1.0355167683117141,0.29133487817097425,3.5543865355661453,3.788619473684775e-4,0.0024281606626797873
Endogenous,TNF,NM_000594.2,108.24528301886792,1.0227787884413038,0.2979808172862208,3.4323645319050513,5.983427207015781e-4,0.00350699348995765
Endogenous,EZH2,NM_004456.3,534.1698113207547,0.9900668647091314,0.15514003810407048,6.381762418061148,1.7506141543365627e-10,8.975876209507467e-9
Endogenous,PRKX,NM_005044.1,111.86792452830188,0.9881907578139549,0.18126098373088034,5.451756563790528,4.987469985885327e-8,1.4064665360196621e-6
Endogenous,CDK6,NM_001259.5,176.18867924528303,0.9542712568611498,0.19829829738281263,4.812301817291653,1.4920180027819198e-6,2.4749945693205965e-5
Endogenous,SFN,NM_006142.3,251.45283018867926,0.954231943854038,0.26504962223962264,3.6002011087242685,3.179711517556694e-4,0.0021457387632453167
Endogenous,SOX9,NM_000346.2,1074.132075471698,0.9492674761733196,0.27022983047652144,3.512815274684471,4.433856228631864e-4,0.0027397292366143386
Endogenous,FANCA,NM_000135.2,88.69811320754717,0.9025986652020243,0.19112910699816993,4.722455304574131,2.330143085158881e-6,3.531586025847785e-5
Endogenous,CDKN2A,NM_000077.3,61.490566037735846,0.8977944047598576,0.2565259150028309,3.499819520183565,4.655732608060241e-4,0.0028234765494042752
Endogenous,BRCA2,NM_000059.3,115.9622641509434,0.8705262749006142,0.1373532343517201,6.337865132985946,2.3297061472862574e-10,1.094961889224541e-8
Endogenous,ITGA6,NM_000210.1,611.3584905660377,0.8676261289410531,0.2895222828302854,2.996750787053048,0.0027287368740708962,0.011659148461939283
Endogenous,MAML2,NM_032427.1,166.83018867924528,0.8474116613290669,0.14192000111281539,5.971051681823483,2.357290480474917e-9,8.863412206585688e-8
Endogenous,EFNA3,NM_004952.4,260.3207547169811,0.8030641336508559,0.24323762261563295,3.301562172065247,9.614802372807486e-4,0.0051645224173937345
Endogenous,LAMC2,NM_005562.2,111.66037735849056,0.8016375708726173,0.2961724933776808,2.7066577376257714,0.006796428642988025,0.025053501664348013
Endogenous,DTX4,NM_015177.1,125.66037735849056,0.791544992474671,0.23957239704743719,3.303990786208726,9.53189649167313e-4,0.0051645224173937345
Endogenous,CDC7,NM_003503.2,134.39622641509433,0.7840802959999803,0.2092113995776066,3.747789544848043,1.7839984148011864e-4,0.0012736393746175557
Endogenous,RAC3,NM_005052.2,292.0943396226415,0.7807682570774005,0.241655196205299,3.230918553946989,0.0012339309500774259,0.00615873500746609
Endogenous,PTCH1,NM_000264.3,90.32075471698113,0.7744846944365364,0.22825590914116442,3.3930543018606274,6.91179351546037e-4,0.003937627820928938
Endogenous,CHEK1,NM_001114121.1,94.9622641509434,0.7726478445737248,0.19365862601947875,3.9897414355093566,6.614536072357103e-5,5.921584674300645e-4
Endogenous,IL2RA,NM_000417.1,75.81132075471699,0.7661609548981425,0.23671975358939,3.236573810511446,0.0012097393656648923,0.006091901805669636
Endogenous,SKP2,NM_005983.2,319.75471698113205,0.75742819001414,0.13460631702276143,5.626988441308157,1.833830105399513e-8,5.746000996918474e-7
Endogenous,MCM2,NM_004526.2,230.35849056603774,0.746108865341232,0.1673256141184242,4.459023618542799,8.233384915877493e-6,1.0553702483079331e-4
Endogenous,RFC3,NM_002915.3,316.2641509433962,0.7460299350820936,0.15097132665524818,4.941533942969823,7.751031879285309e-7,1.457193993305638e-5
Endogenous,CDC25A,NM_001789.2,60.471698113207545,0.7133618285168343,0.15731417977918638,4.534631458639918,5.770415314828999e-6,7.885290241944358e-5
Endogenous,HMGA1,NM_145904.1,271.45283018867923,0.7020984372793452,0.15814286277270836,4.439646690147754,9.010668056195694e-6,1.1047862573248633e-4
Endogenous,CCNA2,NM_001237.2,232.56603773584905,0.7015704268286937,0.18146712746126775,3.8661020133160844,1.1058869522241222e-4,8.712230542765455e-4
Endogenous,H2AFX,NM_002105.2,457.33962264150944,0.6984822727160886,0.1698874790754064,4.111440563586559,3.9319810156090544e-5,3.890591741760538e-4
Endogenous,SMO,NM_005631.3,115.39622641509433,0.6930552294250374,0.1794399199113662,3.8623246698246962,1.1231316705068496e-4,8.712230542765455e-4
Endogenous,VEGFA,NM_001025366.1,2288.132075471698,0.6897625582341383,0.22790743262534013,3.0265031301899117,0.0024740025945341106,0.011074106851724115
Endogenous,PLCB4,NM_000933.3,205.22641509433961,0.6753275390379134,0.22333353758423993,3.0238518869257796,0.002495785935916514,0.011083647778400896
Endogenous,FGF11,NM_004112.2,74.32075471698113,0.6721694740558973,0.2591123918276996,2.59412322704684,0.009483249086176326,0.032027260386846994
Endogenous,IL1RAP,NM_002182.2,115.71698113207547,0.6688915503539209,0.21180724032107373,3.158020232641545,0.001588445329592969,0.007555105070016566
Endogenous,TTK,NM_003318.3,171.9433962264151,0.6682625952483255,0.16790015723703583,3.9801189364277647,6.888079729943126e-5,6.07012026201238e-4
Endogenous,MCM4,NM_182746.1,484.79245283018867,0.6654187384566639,0.15996000394687138,4.159906989485159,3.1837722059610806e-5,3.264813680294635e-4
Endogenous,PLCG2,NM_002661.2,147.1509433962264,0.6620392205848096,0.1914894201820211,3.4573148738739996,5.455869581086983e-4,0.0032390636249821666
Endogenous,HIST1H3B,NM_003537.3,1374.1509433962265,0.6562372420148029,0.24532781217888572,2.6749402613034934,0.007474256718262589,0.02668025815886139
Endogenous,CHEK2,NM_007194.3,116.64150943396227,0.6529532840831093,0.13073976610778493,4.994297477515749,5.905031981239897e-7,1.1484269094549315e-5
Endogenous,DUSP6,NM_001946.2,716.4716981132076,0.6505708904209425,0.2634418144268772,2.4695050473907196,0.013530010982822279,0.04335753519495321
Endogenous,AMER1,NM_152424.3,117.24528301886792,0.6440648293324533,0.18776346383194367,3.4301925208885096,6.031531356842058e-4,0.00350699348995765
Endogenous,RRAS2,NM_001102669.2,166.47169811320754,0.6315009670271475,0.17739140833409314,3.55992983514624,3.7095389455106087e-4,0.002404804557779291
Endogenous,BMP6,NM_001718.2,58.84905660377358,0.6272094238666476,0.23899677289575022,2.6243426480918832,0.008681639696174939,0.029856370662455275
Endogenous,TNFAIP3,NM_006290.2,413.8490566037736,0.6259486730520809,0.22780012714218345,2.7477977334990227,0.005999700863776833,0.02271027709510157
Endogenous,HDAC2,NM_001527.1,1514.1132075471698,0.595056776134654,0.14363786597728628,4.142757009692357,3.431554708333509e-5,3.456065813393034e-4
